type,run,attempts,successes,
combination0111,265,0,0,
combination0111,266,0,0,
combination0111,267,0,0,
combination0111,268,2,2,
combination0111,269,0,0,
combination0111,270,0,0,
combination0111,271,0,0,
combination0111,272,0,0,
combination0111,273,0,0,
combination0111,274,0,0,
combination0111,275,0,0,
combination0111,276,0,0,
combination0111,277,0,0,
combination0111,278,0,0,
combination0111,279,0,0,
combination0111,280,0,0,
combination0111,281,0,0,
combination0111,282,0,0,
combination0111,283,0,0,
combination0111,284,0,0,
combination0111,285,0,0,
combination0111,286,0,0,
combination0111,287,0,0,
combination0111,288,0,0,
combination0111,289,0,0,
combination0111,290,0,0,
combination0111,291,1,1,
combination0111,292,0,0,
combination0111,293,0,0,
combination0111,294,0,0,
combination0111,295,0,0,
combination0111,296,0,0,
combination0111,297,0,0,
combination0111,298,0,0,
combination0111,299,0,0,
combination0111,300,0,0,
combination0111,301,1,1,
combination0111,302,0,0,
combination0111,303,0,0,
combination0111,304,0,0,
combination0111,305,0,0,
combination0111,306,0,0,
combination0111,307,0,0,
combination0111,308,0,0,
combination0111,309,0,0,
combination0111,310,0,0,
combination0111,311,0,0,
combination0111,312,0,0,
combination0111,313,0,0,
combination0111,314,0,0,
combination0111,315,0,0,
combination0111,316,0,0,
combination0111,317,0,0,
combination0111,318,0,0,
combination0111,319,0,0,
combination0111,320,0,0,
combination0111,321,0,0,
combination0111,322,0,0,
combination0111,323,0,0,
combination0111,324,0,0,
combination0111,325,0,0,
combination0111,326,0,0,
combination0111,327,1,1,
combination0111,328,0,0,
combination0111,329,0,0,
combination0111,330,0,0,
combination0111,331,0,0,
combination0111,332,0,0,
combination0111,333,0,0,
combination0111,334,0,0,
combination0111,335,0,0,
combination0111,336,0,0,
combination0111,337,1,1,
combination0111,338,0,0,
combination0111,339,0,0,
combination0111,340,0,0,
combination0111,341,0,0,
combination0111,342,0,0,
combination0111,343,1,1,
combination0111,344,0,0,
combination0111,345,0,0,
combination0111,346,0,0,
combination0111,347,0,0,
combination0111,348,0,0,
