date,runs,totaltime,time_per_run,
20161122,67790,0,0.004145786694202685,281.04288,
20161122,778,0,0.003936383033419023,3.062506,
20161122,65757,0,0.004300390042124793,282.780748,
20161122,1277,0,0.05963344166014096,76.151905,
20161122,56,0,0.05733691071428571,3.210867,
20161122,8,0,0.044921875,0.359375,
20161122,1564,0,0.1270198702046036,198.659077,
20161122,1837,0,0.16764749809471965,307.968454,
20161122,36,0,0.40208055555555555,14.4749,
20161122,21,0,0.05729176190476191,1.203127,
20161122,15,0,0.09791653333333333,1.468748,
20161122,89,0,0.011060404494382023,0.984376,
20161122,88,0,0.007995488636363636,0.703603,
20161122,6,0,0.07850933333333333,0.471056,
20161122,73,0,0.012842506849315068,0.937503,
20161122,12,0,0.12606516666666667,1.512782,
20161122,127,0,0.012351503937007874,1.568641,
