date,runs,totaltime,time_per_run,
2016123,1,0,0.038015,0.038015,
2016123,2,0,0.069013,0.138026,
2016123,2,0,0.042315,0.08463,
2016123,48,0,0.18967229166666666,9.10427,
2016123,48,0,0.18118735416666668,8.696993,
2016123,2,0,0.03122,0.06244,
2016123,54,0,0.15829177777777778,8.547756,
2016123,48,0,0.20217208333333334,9.70426,
2016123,48,0,0.17871064583333332,8.578111,
2016123,48,0,0.21959150000000002,10.540392,
2016123,2346,0,0.0030553857630008525,7.167935,
2016123,2307,0,0.0031938058084091895,7.36811,
2016123,2262,0,0.003638650751547303,8.230628,
2016123,2344,0,0.003328609215017065,7.80226,
2016123,2264,0,0.003808231007067138,8.621835,
2016123,6898,0,0.0037357893592345607,25.769475,
