date,runs,totaltime,time_per_run,
20161128,1,0,0.039699,0.039699,
20161128,1,0,0.019001,0.019001,
20161128,1,0,0.020001,0.020001,
20161128,1,0,0.018,0.018,
20161128,1,0,0.020001,0.020001,
20161128,4601,0,0.0027723379700065206,12.755527,
20161128,4572,0,0.0027323950131233595,12.49251,
20161128,4524,0,0.00288170225464191,13.036821,
20161128,4548,0,0.0029504703166226913,13.418739,
20161128,4586,0,0.0029654795028347144,13.599689,
20161128,4594,0,0.0029386473661297346,13.500146,
20161128,22883,0,0.0029564634007778704,67.652752,
20161128,22895,0,0.0027187509499890807,62.245803,
20161128,22798,0,0.002428623914378454,55.367768,
20161128,227159,0,0.00244394027971597,555.16303,
20161128,541,0,0.003817090573012939,2.065046,
20161128,7474073,0,0.00347067177936314,25940.054238,
20161129,22543,0,0.0022143244466131394,49.917516,
20161129,325898,0,0.0021104067223487104,687.77733,
2016121,1,0,0.034368,0.034368,
2016121,2,0,0.05013,0.10026,
2016121,192,0,0.019496380208333334,3.743305,
2016121,1402270,0,0.0034876595791110123,4890.640398,
2016121,123472,0,0.003104400576648957,383.306548,
2016121,3,0,0.06052266666666667,0.181568,
2016121,54,0,0.08236122222222221,4.447506,
2016121,6858808,0,0.00387516081205364,26578.983979,
