2016-10-17 17:55:56 -0700
17:55:56:0.048535: LittleFrame.log: I:100{A:70/70,U:10/10}
17:55:56:0.049536: LittleFrame.log: IN:{"food"=>200, "shelter"=>200, "health"=>20, "acquisition"=>40, "role"=>70, "audit"=>20, "equipment"=>180, "security"=>30, "data"=>160, "ojt"=>140, "professional"=>80, "formal"=>40}
17:55:56:0.066547: LittleFrame.log: administration31:{"food"=>2.3673469387755093, "shelter"=>2.3673469387755093, "health"=>0.2367346938775512, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.2367346938775512, "equipment"=>2.130612244897958, "security"=>0.35510204081632674, "data"=>1.8938775510204096, "ojt"=>2.0, "professional"=>0.9469387755102048, "formal"=>0.0}
17:55:56:0.066547: LittleFrame.log: administration36:{"food"=>2.3673469387755093, "shelter"=>2.3673469387755093, "health"=>0.2367346938775512, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.2367346938775512, "equipment"=>2.1306122448979585, "security"=>0.35510204081632674, "data"=>1.8938775510204096, "ojt"=>2.0, "professional"=>0.9469387755102048, "formal"=>0.0}
17:55:56:0.067548: LittleFrame.log: technical41:{"food"=>2.3673469387755093, "shelter"=>2.3673469387755093, "health"=>0.2367346938775512, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.2367346938775512, "equipment"=>2.1306122448979585, "security"=>0.35510204081632674, "data"=>1.8938775510204096, "ojt"=>2.0, "professional"=>0.9469387755102048, "formal"=>0.0}
17:55:56:0.068547: LittleFrame.log: technical46:{"food"=>2.3673469387755093, "shelter"=>2.3673469387755093, "health"=>0.2367346938775512, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.2367346938775512, "equipment"=>2.1306122448979585, "security"=>0.35510204081632674, "data"=>1.8938775510204096, "ojt"=>2.0, "professional"=>0.9469387755102048, "formal"=>0.0}
17:55:56:0.069548: LittleFrame.log: technical51:{"food"=>2.3673469387755093, "shelter"=>2.3673469387755093, "health"=>0.2367346938775512, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.2367346938775512, "equipment"=>2.130612244897959, "security"=>0.35510204081632674, "data"=>1.8938775510204096, "ojt"=>2.0, "professional"=>0.9469387755102048, "formal"=>0.0}
17:55:56:0.069548: LittleFrame.log: training56:{"food"=>2.3673469387755093, "shelter"=>2.3673469387755093, "health"=>0.2367346938775512, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.2367346938775512, "equipment"=>2.130612244897959, "security"=>0.35510204081632674, "data"=>1.8938775510204096, "ojt"=>2.0, "professional"=>0.9469387755102048, "formal"=>0.0}
17:55:56:0.07055: LittleFrame.log: training61:{"food"=>2.3673469387755093, "shelter"=>2.3673469387755093, "health"=>0.2367346938775512, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.2367346938775512, "equipment"=>2.130612244897959, "security"=>0.35510204081632674, "data"=>1.8938775510204096, "ojt"=>2.0, "professional"=>0.9469387755102048, "formal"=>0.0}
17:55:56:0.071549: LittleFrame.log: training66:{"food"=>2.367346938775509, "shelter"=>2.367346938775509, "health"=>0.2367346938775512, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.2367346938775512, "equipment"=>2.130612244897959, "security"=>0.35510204081632674, "data"=>1.8938775510204096, "ojt"=>2.0, "professional"=>0.9469387755102048, "formal"=>0.0}
17:55:56:0.071549: LittleFrame.log: service2:{"food"=>1.9615160349854217, "shelter"=>1.9615160349854217, "health"=>0.1961516034985424, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.1961516034985424, "equipment"=>1.7653644314868804, "security"=>0.2942274052478136, "data"=>1.5692128279883393, "ojt"=>1.6571428571428573, "professional"=>0.7846064139941696, "formal"=>0.0}
17:55:56:0.07255: LittleFrame.log: service12:{"food"=>1.961516034985422, "shelter"=>1.961516034985422, "health"=>0.1961516034985424, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.1961516034985424, "equipment"=>1.7653644314868802, "security"=>0.2942274052478136, "data"=>1.5692128279883393, "ojt"=>1.657142857142857, "professional"=>0.7846064139941696, "formal"=>0.0}
17:55:56:0.073552: LittleFrame.log: service22:{"food"=>1.9615160349854222, "shelter"=>1.9615160349854222, "health"=>0.19615160349854244, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.19615160349854244, "equipment"=>1.7653644314868802, "security"=>0.2942274052478136, "data"=>1.5692128279883395, "ojt"=>1.657142857142857, "professional"=>0.7846064139941697, "formal"=>0.0}
17:55:56:0.074551: LittleFrame.log: administration27:{"food"=>1.961516034985422, "shelter"=>1.961516034985422, "health"=>0.19615160349854244, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.19615160349854244, "equipment"=>1.76536443148688, "security"=>0.2942274052478136, "data"=>1.5692128279883395, "ojt"=>1.657142857142857, "professional"=>0.7846064139941697, "formal"=>0.0}
17:55:56:0.075552: LittleFrame.log: administration32:{"food"=>1.9615160349854222, "shelter"=>1.9615160349854222, "health"=>0.19615160349854244, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.19615160349854244, "equipment"=>1.7653644314868802, "security"=>0.2942274052478136, "data"=>1.5692128279883395, "ojt"=>1.657142857142857, "professional"=>0.7846064139941697, "formal"=>0.0}
17:55:56:0.076553: LittleFrame.log: administration37:{"food"=>1.9615160349854222, "shelter"=>1.9615160349854222, "health"=>0.19615160349854244, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.19615160349854244, "equipment"=>1.76536443148688, "security"=>0.2942274052478136, "data"=>1.5692128279883395, "ojt"=>1.657142857142857, "professional"=>0.7846064139941697, "formal"=>0.0}
17:55:56:0.076553: LittleFrame.log: technical42:{"food"=>1.9615160349854222, "shelter"=>1.9615160349854222, "health"=>0.19615160349854244, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.19615160349854244, "equipment"=>1.76536443148688, "security"=>0.2942274052478136, "data"=>1.5692128279883395, "ojt"=>1.657142857142857, "professional"=>0.7846064139941697, "formal"=>0.0}
17:55:56:0.077554: LittleFrame.log: technical47:{"food"=>1.9615160349854222, "shelter"=>1.9615160349854222, "health"=>0.19615160349854244, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.19615160349854244, "equipment"=>1.7653644314868797, "security"=>0.2942274052478136, "data"=>1.5692128279883395, "ojt"=>1.657142857142857, "professional"=>0.7846064139941697, "formal"=>0.0}
17:55:56:0.078554: LittleFrame.log: technical52:{"food"=>1.9615160349854222, "shelter"=>1.9615160349854222, "health"=>0.19615160349854244, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.19615160349854244, "equipment"=>1.76536443148688, "security"=>0.2942274052478136, "data"=>1.5692128279883395, "ojt"=>1.657142857142857, "professional"=>0.7846064139941697, "formal"=>0.0}
17:55:56:0.078554: LittleFrame.log: training57:{"food"=>1.9615160349854222, "shelter"=>1.9615160349854222, "health"=>0.19615160349854244, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.19615160349854244, "equipment"=>1.7653644314868802, "security"=>0.2942274052478136, "data"=>1.5692128279883395, "ojt"=>1.657142857142857, "professional"=>0.7846064139941697, "formal"=>0.0}
17:55:56:0.079555: LittleFrame.log: training62:{"food"=>1.9615160349854222, "shelter"=>1.9615160349854222, "health"=>0.19615160349854247, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.19615160349854247, "equipment"=>1.76536443148688, "security"=>0.2942274052478136, "data"=>1.5692128279883397, "ojt"=>1.657142857142857, "professional"=>0.7846064139941699, "formal"=>0.0}
17:55:56:0.080555: LittleFrame.log: training67:{"food"=>1.9615160349854222, "shelter"=>1.9615160349854222, "health"=>0.19615160349854247, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.19615160349854247, "equipment"=>1.7653644314868797, "security"=>0.2942274052478136, "data"=>1.5692128279883397, "ojt"=>1.6571428571428568, "professional"=>0.7846064139941699, "formal"=>0.0}
17:55:56:0.080555: LittleFrame.log: service3:{"food"=>1.6252561432736354, "shelter"=>1.6252561432736354, "health"=>0.16252561432736376, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.16252561432736376, "equipment"=>1.462730528946272, "security"=>0.24378842149104557, "data"=>1.30020491461891, "ojt"=>0.0, "professional"=>0.650102457309455, "formal"=>0.0}
17:55:56:0.081557: LittleFrame.log: service13:{"food"=>1.6252561432736357, "shelter"=>1.6252561432736357, "health"=>0.16252561432736373, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.16252561432736373, "equipment"=>1.462730528946272, "security"=>0.24378842149104557, "data"=>1.3002049146189099, "ojt"=>0.0, "professional"=>0.6501024573094549, "formal"=>0.0}
17:55:56:0.082557: LittleFrame.log: service23:{"food"=>1.6252561432736357, "shelter"=>1.6252561432736357, "health"=>0.16252561432736373, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.16252561432736373, "equipment"=>1.4627305289462722, "security"=>0.24378842149104554, "data"=>1.3002049146189099, "ojt"=>0.0, "professional"=>0.6501024573094549, "formal"=>0.0}
17:55:56:0.082557: LittleFrame.log: administration28:{"food"=>1.6252561432736357, "shelter"=>1.6252561432736357, "health"=>0.1625256143273637, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.1625256143273637, "equipment"=>1.4627305289462722, "security"=>0.24378842149104551, "data"=>1.3002049146189096, "ojt"=>0.0, "professional"=>0.6501024573094548, "formal"=>0.0}
