2016-10-17 17:55:56 -0700
17:55:56:0.048535: LittleFrame.log: I:100{A:70/70,U:10/10}
17:55:56:0.049536: LittleFrame.log: IN:{"food"=>200, "shelter"=>200, "health"=>20, "acquisition"=>40, "role"=>70, "audit"=>20, "equipment"=>180, "security"=>30, "data"=>160, "ojt"=>140, "professional"=>80, "formal"=>40}
17:55:56:0.106078: LittleFrame.log: service8:{"food"=>1.0228556335783119, "shelter"=>1.0228556335783119, "health"=>0.10228556335783132, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.10228556335783132, "equipment"=>0.9205700702204814, "security"=>0.15342834503674677, "data"=>0.8182845068626505, "ojt"=>0.0, "professional"=>0.40914225343132526, "formal"=>0.0}
17:55:56:0.107079: LittleFrame.log: service18:{"food"=>1.0228556335783119, "shelter"=>1.0228556335783119, "health"=>0.10228556335783132, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.10228556335783132, "equipment"=>0.9205700702204815, "security"=>0.15342834503674674, "data"=>0.8182845068626505, "ojt"=>0.0, "professional"=>0.40914225343132526, "formal"=>0.0}
17:55:56:0.107579: LittleFrame.log: service9:{"food"=>0.9936311869046457, "shelter"=>0.9936311869046457, "health"=>0.0993631186904647, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.0993631186904647, "equipment"=>0.894268068214182, "security"=>0.14904467803569682, "data"=>0.7949049495237176, "ojt"=>0.0, "professional"=>0.3974524747618588, "formal"=>0.0}
17:55:56:0.10858: LittleFrame.log: service19:{"food"=>0.9936311869046456, "shelter"=>0.9936311869046456, "health"=>0.0993631186904647, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.0993631186904647, "equipment"=>0.894268068214182, "security"=>0.14904467803569682, "data"=>0.7949049495237176, "ojt"=>0.0, "professional"=>0.3974524747618588, "formal"=>0.0}
17:55:56:0.10908: LittleFrame.log: R:{"food"=>67.5669207095159, "shelter"=>67.5669207095159, "health"=>6.756692070951599, "acquisition"=>40.0, "role"=>70.0, "audit"=>6.756692070951599, "equipment"=>60.81022863856438, "security"=>10.135038106427384, "data"=>54.053536567612795, "ojt"=>96.1142857142857, "professional"=>27.026768283806398, "formal"=>40.0}
17:55:56:0.10908: LittleFrame.log: I:99{A:70/70,U:10/10}
17:55:56:0.110092: LittleFrame.log: IN:{"food"=>20.22968130409661, "shelter"=>20.22968130409661, "health"=>20.22968130409661, "acquisition"=>20.22968130409661, "role"=>20.22968130409661, "audit"=>20.22968130409661, "equipment"=>20.22968130409661, "security"=>20.22968130409661, "data"=>20.229681304096612, "ojt"=>20.229681304096612, "professional"=>20.229681304096612, "formal"=>20.229681304096612}
17:55:56:0.111092: LittleFrame.log: service0:{"food"=>0.2889954472013801, "shelter"=>0.2889954472013801, "health"=>0.2889954472013801, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.2889954472013801, "equipment"=>0.2889954472013801, "security"=>0.2889954472013801, "data"=>0.28899544720138015, "ojt"=>0.0, "professional"=>0.28899544720138015, "formal"=>0.0}
17:55:56:0.112093: LittleFrame.log: service10:{"food"=>0.28899544720138015, "shelter"=>0.28899544720138015, "health"=>0.28899544720138015, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.28899544720138015, "equipment"=>0.28899544720138015, "security"=>0.28899544720138015, "data"=>0.28899544720138015, "ojt"=>0.0, "professional"=>0.28899544720138015, "formal"=>0.0}
17:55:56:0.113095: LittleFrame.log: service20:{"food"=>0.28899544720138015, "shelter"=>0.28899544720138015, "health"=>0.28899544720138015, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.28899544720138015, "equipment"=>0.28899544720138015, "security"=>0.28899544720138015, "data"=>0.2889954472013802, "ojt"=>0.0, "professional"=>0.2889954472013802, "formal"=>0.0}
17:55:56:0.114094: LittleFrame.log: administration25:{"food"=>0.28899544720138015, "shelter"=>0.28899544720138015, "health"=>0.28899544720138015, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.28899544720138015, "equipment"=>0.28899544720138015, "security"=>0.28899544720138015, "data"=>0.2889954472013802, "ojt"=>0.0, "professional"=>0.2889954472013802, "formal"=>0.0}
17:55:56:0.115097: LittleFrame.log: administration30:{"food"=>0.28899544720138015, "shelter"=>0.28899544720138015, "health"=>0.28899544720138015, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.28899544720138015, "equipment"=>0.28899544720138015, "security"=>0.28899544720138015, "data"=>0.2889954472013802, "ojt"=>0.0, "professional"=>0.2889954472013802, "formal"=>0.0}
17:55:56:0.116096: LittleFrame.log: administration35:{"food"=>0.28899544720138015, "shelter"=>0.28899544720138015, "health"=>0.28899544720138015, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.28899544720138015, "equipment"=>0.28899544720138015, "security"=>0.28899544720138015, "data"=>0.2889954472013802, "ojt"=>0.0, "professional"=>0.2889954472013802, "formal"=>0.0}
17:55:56:0.117098: LittleFrame.log: technical40:{"food"=>0.28899544720138015, "shelter"=>0.28899544720138015, "health"=>0.28899544720138015, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.28899544720138015, "equipment"=>0.28899544720138015, "security"=>0.28899544720138015, "data"=>0.2889954472013802, "ojt"=>0.0, "professional"=>0.2889954472013802, "formal"=>0.0}
17:55:56:0.117098: LittleFrame.log: technical45:{"food"=>0.28899544720138015, "shelter"=>0.28899544720138015, "health"=>0.28899544720138015, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.28899544720138015, "equipment"=>0.28899544720138015, "security"=>0.28899544720138015, "data"=>0.2889954472013802, "ojt"=>0.0, "professional"=>0.2889954472013802, "formal"=>0.0}
17:55:56:0.118098: LittleFrame.log: technical50:{"food"=>0.28899544720138015, "shelter"=>0.28899544720138015, "health"=>0.28899544720138015, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.28899544720138015, "equipment"=>0.28899544720138015, "security"=>0.28899544720138015, "data"=>0.2889954472013802, "ojt"=>0.0, "professional"=>0.2889954472013802, "formal"=>0.0}
17:55:56:0.119098: LittleFrame.log: training55:{"food"=>0.28899544720138015, "shelter"=>0.28899544720138015, "health"=>0.28899544720138015, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.28899544720138015, "equipment"=>0.28899544720138015, "security"=>0.28899544720138015, "data"=>0.2889954472013802, "ojt"=>0.0, "professional"=>0.2889954472013802, "formal"=>0.0}
17:55:56:0.120098: LittleFrame.log: training60:{"food"=>0.28899544720138015, "shelter"=>0.28899544720138015, "health"=>0.28899544720138015, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.28899544720138015, "equipment"=>0.28899544720138015, "security"=>0.28899544720138015, "data"=>0.2889954472013802, "ojt"=>0.0, "professional"=>0.2889954472013802, "formal"=>0.0}
17:55:56:0.120098: LittleFrame.log: training65:{"food"=>0.2889954472013802, "shelter"=>0.2889954472013802, "health"=>0.2889954472013802, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.2889954472013802, "equipment"=>0.2889954472013802, "security"=>0.2889954472013802, "data"=>0.28899544720138026, "ojt"=>0.0, "professional"=>0.28899544720138026, "formal"=>0.0}
17:55:56:0.1211: LittleFrame.log: service1:{"food"=>0.23945337053828644, "shelter"=>0.23945337053828644, "health"=>0.23945337053828644, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.23945337053828644, "equipment"=>0.23945337053828644, "security"=>0.23945337053828644, "data"=>0.2394533705382865, "ojt"=>0.28899544720138015, "professional"=>0.2394533705382865, "formal"=>0.0}
17:55:56:0.122099: LittleFrame.log: service11:{"food"=>0.23945337053828644, "shelter"=>0.23945337053828644, "health"=>0.23945337053828644, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.23945337053828644, "equipment"=>0.23945337053828644, "security"=>0.23945337053828644, "data"=>0.2394533705382865, "ojt"=>0.28899544720138015, "professional"=>0.2394533705382865, "formal"=>0.0}
17:55:56:0.1231: LittleFrame.log: service21:{"food"=>0.23945337053828647, "shelter"=>0.23945337053828647, "health"=>0.23945337053828647, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.23945337053828647, "equipment"=>0.23945337053828647, "security"=>0.23945337053828647, "data"=>0.23945337053828653, "ojt"=>0.2889954472013802, "professional"=>0.23945337053828653, "formal"=>0.0}
17:55:56:0.1231: LittleFrame.log: administration26:{"food"=>0.23945337053828647, "shelter"=>0.23945337053828647, "health"=>0.23945337053828647, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.23945337053828647, "equipment"=>0.23945337053828647, "security"=>0.23945337053828647, "data"=>0.23945337053828653, "ojt"=>0.2889954472013802, "professional"=>0.23945337053828653, "formal"=>0.0}
17:55:56:0.124101: LittleFrame.log: administration31:{"food"=>0.23945337053828647, "shelter"=>0.23945337053828647, "health"=>0.23945337053828647, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.23945337053828647, "equipment"=>0.23945337053828647, "security"=>0.23945337053828647, "data"=>0.23945337053828653, "ojt"=>0.2889954472013802, "professional"=>0.23945337053828653, "formal"=>0.0}
17:55:56:0.125103: LittleFrame.log: administration36:{"food"=>0.23945337053828644, "shelter"=>0.23945337053828644, "health"=>0.23945337053828644, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.23945337053828644, "equipment"=>0.23945337053828644, "security"=>0.23945337053828644, "data"=>0.2394533705382865, "ojt"=>0.2889954472013802, "professional"=>0.2394533705382865, "formal"=>0.0}
17:55:56:0.126102: LittleFrame.log: technical41:{"food"=>0.23945337053828644, "shelter"=>0.23945337053828644, "health"=>0.23945337053828644, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.23945337053828644, "equipment"=>0.23945337053828644, "security"=>0.23945337053828644, "data"=>0.2394533705382865, "ojt"=>0.2889954472013802, "professional"=>0.2394533705382865, "formal"=>0.0}
17:55:56:0.127103: LittleFrame.log: technical46:{"food"=>0.23945337053828644, "shelter"=>0.23945337053828644, "health"=>0.23945337053828644, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.23945337053828644, "equipment"=>0.23945337053828644, "security"=>0.23945337053828644, "data"=>0.2394533705382865, "ojt"=>0.2889954472013802, "professional"=>0.2394533705382865, "formal"=>0.0}
17:55:56:0.128103: LittleFrame.log: technical51:{"food"=>0.23945337053828641, "shelter"=>0.23945337053828641, "health"=>0.23945337053828641, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.23945337053828641, "equipment"=>0.23945337053828641, "security"=>0.23945337053828641, "data"=>0.23945337053828647, "ojt"=>0.2889954472013802, "professional"=>0.23945337053828647, "formal"=>0.0}
17:55:56:0.128103: LittleFrame.log: training56:{"food"=>0.2394533705382864, "shelter"=>0.2394533705382864, "health"=>0.2394533705382864, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.2394533705382864, "equipment"=>0.2394533705382864, "security"=>0.2394533705382864, "data"=>0.23945337053828647, "ojt"=>0.2889954472013802, "professional"=>0.23945337053828647, "formal"=>0.0}
17:55:56:0.129104: LittleFrame.log: training61:{"food"=>0.23945337053828641, "shelter"=>0.23945337053828641, "health"=>0.23945337053828641, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.23945337053828641, "equipment"=>0.23945337053828641, "security"=>0.23945337053828641, "data"=>0.23945337053828644, "ojt"=>0.2889954472013802, "professional"=>0.23945337053828644, "formal"=>0.0}
17:55:56:0.130105: LittleFrame.log: training66:{"food"=>0.23945337053828644, "shelter"=>0.23945337053828644, "health"=>0.23945337053828644, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.23945337053828644, "equipment"=>0.23945337053828644, "security"=>0.23945337053828644, "data"=>0.23945337053828644, "ojt"=>0.28899544720138026, "professional"=>0.23945337053828644, "formal"=>0.0}
17:55:56:0.131105: LittleFrame.log: service2:{"food"=>0.1984042213031516, "shelter"=>0.1984042213031516, "health"=>0.1984042213031516, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.1984042213031516, "equipment"=>0.1984042213031516, "security"=>0.1984042213031516, "data"=>0.1984042213031516, "ojt"=>0.2394533705382865, "professional"=>0.1984042213031516, "formal"=>0.0}
17:55:56:0.131105: LittleFrame.log: service12:{"food"=>0.1984042213031516, "shelter"=>0.1984042213031516, "health"=>0.1984042213031516, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.1984042213031516, "equipment"=>0.1984042213031516, "security"=>0.1984042213031516, "data"=>0.1984042213031516, "ojt"=>0.2394533705382865, "professional"=>0.1984042213031516, "formal"=>0.0}
17:55:56:0.132106: LittleFrame.log: service22:{"food"=>0.1984042213031516, "shelter"=>0.1984042213031516, "health"=>0.1984042213031516, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.1984042213031516, "equipment"=>0.1984042213031516, "security"=>0.1984042213031516, "data"=>0.1984042213031516, "ojt"=>0.23945337053828653, "professional"=>0.1984042213031516, "formal"=>0.0}
17:55:56:0.133108: LittleFrame.log: administration27:{"food"=>0.19840422130315158, "shelter"=>0.19840422130315158, "health"=>0.19840422130315158, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.19840422130315158, "equipment"=>0.19840422130315158, "security"=>0.19840422130315158, "data"=>0.19840422130315158, "ojt"=>0.23945337053828653, "professional"=>0.19840422130315158, "formal"=>0.0}
17:55:56:0.134107: LittleFrame.log: administration32:{"food"=>0.19840422130315158, "shelter"=>0.19840422130315158, "health"=>0.19840422130315158, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.19840422130315158, "equipment"=>0.19840422130315158, "security"=>0.19840422130315158, "data"=>0.19840422130315158, "ojt"=>0.23945337053828653, "professional"=>0.19840422130315158, "formal"=>0.0}
17:55:56:0.135109: LittleFrame.log: administration37:{"food"=>0.19840422130315158, "shelter"=>0.19840422130315158, "health"=>0.19840422130315158, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.19840422130315158, "equipment"=>0.19840422130315158, "security"=>0.19840422130315158, "data"=>0.19840422130315158, "ojt"=>0.2394533705382865, "professional"=>0.19840422130315158, "formal"=>0.0}
17:55:56:0.136109: LittleFrame.log: technical42:{"food"=>0.19840422130315158, "shelter"=>0.19840422130315158, "health"=>0.19840422130315158, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.19840422130315158, "equipment"=>0.19840422130315158, "security"=>0.19840422130315158, "data"=>0.19840422130315158, "ojt"=>0.2394533705382865, "professional"=>0.19840422130315158, "formal"=>0.0}
17:55:56:0.13711: LittleFrame.log: technical47:{"food"=>0.19840422130315158, "shelter"=>0.19840422130315158, "health"=>0.19840422130315158, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.19840422130315158, "equipment"=>0.19840422130315158, "security"=>0.19840422130315158, "data"=>0.19840422130315158, "ojt"=>0.2394533705382865, "professional"=>0.19840422130315158, "formal"=>0.0}
17:55:56:0.13811: LittleFrame.log: technical52:{"food"=>0.19840422130315158, "shelter"=>0.19840422130315158, "health"=>0.19840422130315158, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.19840422130315158, "equipment"=>0.19840422130315158, "security"=>0.19840422130315158, "data"=>0.19840422130315158, "ojt"=>0.23945337053828647, "professional"=>0.19840422130315158, "formal"=>0.0}
17:55:56:0.139112: LittleFrame.log: training57:{"food"=>0.19840422130315158, "shelter"=>0.19840422130315158, "health"=>0.19840422130315158, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.19840422130315158, "equipment"=>0.19840422130315158, "security"=>0.19840422130315158, "data"=>0.19840422130315158, "ojt"=>0.23945337053828647, "professional"=>0.19840422130315158, "formal"=>0.0}
17:55:56:0.140112: LittleFrame.log: training62:{"food"=>0.19840422130315155, "shelter"=>0.19840422130315155, "health"=>0.19840422130315155, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.19840422130315155, "equipment"=>0.19840422130315155, "security"=>0.19840422130315155, "data"=>0.19840422130315155, "ojt"=>0.23945337053828644, "professional"=>0.19840422130315155, "formal"=>0.0}
17:55:56:0.141112: LittleFrame.log: training67:{"food"=>0.19840422130315155, "shelter"=>0.19840422130315155, "health"=>0.19840422130315155, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.19840422130315155, "equipment"=>0.19840422130315155, "security"=>0.19840422130315155, "data"=>0.19840422130315155, "ojt"=>0.23945337053828644, "professional"=>0.19840422130315155, "formal"=>0.0}
17:55:56:0.141112: LittleFrame.log: service3:{"food"=>0.16439206907975415, "shelter"=>0.16439206907975415, "health"=>0.16439206907975415, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.16439206907975415, "equipment"=>0.16439206907975415, "security"=>0.16439206907975415, "data"=>0.16439206907975415, "ojt"=>0.0, "professional"=>0.16439206907975415, "formal"=>0.0}
17:55:56:0.142113: LittleFrame.log: service13:{"food"=>0.16439206907975415, "shelter"=>0.16439206907975415, "health"=>0.16439206907975415, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.16439206907975415, "equipment"=>0.16439206907975415, "security"=>0.16439206907975415, "data"=>0.16439206907975415, "ojt"=>0.0, "professional"=>0.16439206907975415, "formal"=>0.0}
17:55:56:0.143113: LittleFrame.log: service23:{"food"=>0.16439206907975412, "shelter"=>0.16439206907975412, "health"=>0.16439206907975412, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.16439206907975412, "equipment"=>0.16439206907975412, "security"=>0.16439206907975412, "data"=>0.16439206907975412, "ojt"=>0.0, "professional"=>0.16439206907975412, "formal"=>0.0}
17:55:56:0.144115: LittleFrame.log: administration28:{"food"=>0.16439206907975412, "shelter"=>0.16439206907975412, "health"=>0.16439206907975412, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.16439206907975412, "equipment"=>0.16439206907975412, "security"=>0.16439206907975412, "data"=>0.16439206907975412, "ojt"=>0.0, "professional"=>0.16439206907975412, "formal"=>0.0}
17:55:56:0.145116: LittleFrame.log: administration33:{"food"=>0.16439206907975412, "shelter"=>0.16439206907975412, "health"=>0.16439206907975412, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.16439206907975412, "equipment"=>0.16439206907975412, "security"=>0.16439206907975412, "data"=>0.16439206907975412, "ojt"=>0.0, "professional"=>0.16439206907975412, "formal"=>0.0}
17:55:56:0.145116: LittleFrame.log: administration38:{"food"=>0.1643920690797541, "shelter"=>0.1643920690797541, "health"=>0.1643920690797541, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.1643920690797541, "equipment"=>0.1643920690797541, "security"=>0.1643920690797541, "data"=>0.1643920690797541, "ojt"=>0.0, "professional"=>0.1643920690797541, "formal"=>0.0}
17:55:56:0.146117: LittleFrame.log: technical43:{"food"=>0.1643920690797541, "shelter"=>0.1643920690797541, "health"=>0.1643920690797541, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.1643920690797541, "equipment"=>0.1643920690797541, "security"=>0.1643920690797541, "data"=>0.1643920690797541, "ojt"=>0.0, "professional"=>0.1643920690797541, "formal"=>0.0}
17:55:56:0.147116: LittleFrame.log: technical48:{"food"=>0.1643920690797541, "shelter"=>0.1643920690797541, "health"=>0.1643920690797541, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.1643920690797541, "equipment"=>0.1643920690797541, "security"=>0.1643920690797541, "data"=>0.1643920690797541, "ojt"=>0.0, "professional"=>0.1643920690797541, "formal"=>0.0}
17:55:56:0.147116: LittleFrame.log: technical53:{"food"=>0.16439206907975407, "shelter"=>0.16439206907975407, "health"=>0.16439206907975407, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.16439206907975407, "equipment"=>0.16439206907975407, "security"=>0.16439206907975407, "data"=>0.16439206907975407, "ojt"=>0.0, "professional"=>0.16439206907975407, "formal"=>0.0}
17:55:56:0.148117: LittleFrame.log: training58:{"food"=>0.16439206907975407, "shelter"=>0.16439206907975407, "health"=>0.16439206907975407, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.16439206907975407, "equipment"=>0.16439206907975407, "security"=>0.16439206907975407, "data"=>0.16439206907975407, "ojt"=>0.0, "professional"=>0.16439206907975407, "formal"=>0.0}
17:55:56:0.149118: LittleFrame.log: training63:{"food"=>0.16439206907975407, "shelter"=>0.16439206907975407, "health"=>0.16439206907975407, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.16439206907975407, "equipment"=>0.16439206907975407, "security"=>0.16439206907975407, "data"=>0.16439206907975407, "ojt"=>0.0, "professional"=>0.16439206907975407, "formal"=>0.0}
17:55:56:0.150118: LittleFrame.log: training68:{"food"=>0.16439206907975404, "shelter"=>0.16439206907975404, "health"=>0.16439206907975404, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.16439206907975404, "equipment"=>0.16439206907975404, "security"=>0.16439206907975404, "data"=>0.16439206907975404, "ojt"=>0.0, "professional"=>0.16439206907975404, "formal"=>0.0}
17:55:56:0.151119: LittleFrame.log: service4:{"food"=>0.13621057152322477, "shelter"=>0.13621057152322477, "health"=>0.13621057152322477, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.13621057152322477, "equipment"=>0.13621057152322477, "security"=>0.13621057152322477, "data"=>0.13621057152322477, "ojt"=>0.0, "professional"=>0.13621057152322477, "formal"=>0.0}
17:55:56:0.151119: LittleFrame.log: service14:{"food"=>0.13621057152322477, "shelter"=>0.13621057152322477, "health"=>0.13621057152322477, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.13621057152322477, "equipment"=>0.13621057152322477, "security"=>0.13621057152322477, "data"=>0.13621057152322477, "ojt"=>0.0, "professional"=>0.13621057152322477, "formal"=>0.0}
17:55:56:0.152119: LittleFrame.log: service24:{"food"=>0.13621057152322474, "shelter"=>0.13621057152322474, "health"=>0.13621057152322474, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.13621057152322474, "equipment"=>0.13621057152322474, "security"=>0.13621057152322474, "data"=>0.13621057152322474, "ojt"=>0.0, "professional"=>0.13621057152322474, "formal"=>0.0}
17:55:56:0.15312: LittleFrame.log: administration29:{"food"=>0.13621057152322474, "shelter"=>0.13621057152322474, "health"=>0.13621057152322474, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.13621057152322474, "equipment"=>0.13621057152322474, "security"=>0.13621057152322474, "data"=>0.13621057152322474, "ojt"=>0.0, "professional"=>0.13621057152322474, "formal"=>0.0}
17:55:56:0.15312: LittleFrame.log: administration34:{"food"=>0.13621057152322474, "shelter"=>0.13621057152322474, "health"=>0.13621057152322474, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.13621057152322474, "equipment"=>0.13621057152322474, "security"=>0.13621057152322474, "data"=>0.13621057152322474, "ojt"=>0.0, "professional"=>0.13621057152322474, "formal"=>0.0}
17:55:56:0.154121: LittleFrame.log: administration39:{"food"=>0.13621057152322472, "shelter"=>0.13621057152322472, "health"=>0.13621057152322472, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.13621057152322472, "equipment"=>0.13621057152322472, "security"=>0.13621057152322472, "data"=>0.13621057152322472, "ojt"=>0.0, "professional"=>0.13621057152322472, "formal"=>0.0}
17:55:56:0.154121: LittleFrame.log: technical44:{"food"=>0.13621057152322472, "shelter"=>0.13621057152322472, "health"=>0.13621057152322472, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.13621057152322472, "equipment"=>0.13621057152322472, "security"=>0.13621057152322472, "data"=>0.13621057152322472, "ojt"=>0.0, "professional"=>0.13621057152322472, "formal"=>0.0}
17:55:56:0.155121: LittleFrame.log: technical49:{"food"=>0.13621057152322472, "shelter"=>0.13621057152322472, "health"=>0.13621057152322472, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.13621057152322472, "equipment"=>0.13621057152322472, "security"=>0.13621057152322472, "data"=>0.13621057152322472, "ojt"=>0.0, "professional"=>0.13621057152322472, "formal"=>0.0}
17:55:56:0.156122: LittleFrame.log: technical54:{"food"=>0.1362105715232247, "shelter"=>0.1362105715232247, "health"=>0.1362105715232247, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.1362105715232247, "equipment"=>0.1362105715232247, "security"=>0.1362105715232247, "data"=>0.1362105715232247, "ojt"=>0.0, "professional"=>0.1362105715232247, "formal"=>0.0}
17:55:56:0.156122: LittleFrame.log: training59:{"food"=>0.1362105715232247, "shelter"=>0.1362105715232247, "health"=>0.1362105715232247, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.1362105715232247, "equipment"=>0.1362105715232247, "security"=>0.1362105715232247, "data"=>0.1362105715232247, "ojt"=>0.0, "professional"=>0.1362105715232247, "formal"=>0.0}
17:55:56:0.157122: LittleFrame.log: training64:{"food"=>0.13621057152322466, "shelter"=>0.13621057152322466, "health"=>0.13621057152322466, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.13621057152322466, "equipment"=>0.13621057152322466, "security"=>0.13621057152322466, "data"=>0.13621057152322466, "ojt"=>0.0, "professional"=>0.13621057152322466, "formal"=>0.0}
17:55:56:0.157122: LittleFrame.log: training69:{"food"=>0.13621057152322466, "shelter"=>0.13621057152322466, "health"=>0.13621057152322466, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.13621057152322466, "equipment"=>0.13621057152322466, "security"=>0.13621057152322466, "data"=>0.13621057152322466, "ojt"=>0.0, "professional"=>0.13621057152322466, "formal"=>0.0}
17:55:56:0.158123: LittleFrame.log: service5:{"food"=>0.11286018783352901, "shelter"=>0.11286018783352901, "health"=>0.11286018783352901, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.11286018783352901, "equipment"=>0.11286018783352901, "security"=>0.11286018783352901, "data"=>0.11286018783352901, "ojt"=>0.0, "professional"=>0.11286018783352901, "formal"=>0.0}
17:55:56:0.159124: LittleFrame.log: service15:{"food"=>0.11286018783352901, "shelter"=>0.11286018783352901, "health"=>0.11286018783352901, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.11286018783352901, "equipment"=>0.11286018783352901, "security"=>0.11286018783352901, "data"=>0.11286018783352901, "ojt"=>0.0, "professional"=>0.11286018783352901, "formal"=>0.0}
17:55:56:0.159124: LittleFrame.log: service6:{"food"=>0.10963561103828533, "shelter"=>0.10963561103828533, "health"=>0.10963561103828533, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.10963561103828533, "equipment"=>0.10963561103828533, "security"=>0.10963561103828533, "data"=>0.10963561103828533, "ojt"=>0.0, "professional"=>0.10963561103828533, "formal"=>0.0}
17:55:56:0.160124: LittleFrame.log: service16:{"food"=>0.10963561103828533, "shelter"=>0.10963561103828533, "health"=>0.10963561103828533, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.10963561103828533, "equipment"=>0.10963561103828533, "security"=>0.10963561103828533, "data"=>0.10963561103828533, "ojt"=>0.0, "professional"=>0.10963561103828533, "formal"=>0.0}
17:55:56:0.161126: LittleFrame.log: service7:{"food"=>0.10650316500862003, "shelter"=>0.10650316500862003, "health"=>0.10650316500862003, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.10650316500862003, "equipment"=>0.10650316500862003, "security"=>0.10650316500862003, "data"=>0.10650316500862003, "ojt"=>0.0, "professional"=>0.10650316500862003, "formal"=>0.0}
17:55:56:0.161126: LittleFrame.log: service17:{"food"=>0.10650316500862003, "shelter"=>0.10650316500862003, "health"=>0.10650316500862003, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.10650316500862003, "equipment"=>0.10650316500862003, "security"=>0.10650316500862003, "data"=>0.10650316500862003, "ojt"=>0.0, "professional"=>0.10650316500862003, "formal"=>0.0}
17:55:56:0.162127: LittleFrame.log: service8:{"food"=>0.10346021743694517, "shelter"=>0.10346021743694517, "health"=>0.10346021743694517, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.10346021743694517, "equipment"=>0.10346021743694517, "security"=>0.10346021743694517, "data"=>0.10346021743694517, "ojt"=>0.0, "professional"=>0.10346021743694517, "formal"=>0.0}
