date,runs,totaltime,time_per_run,
2016124,210530,0,0.0035374887094475845,744.747498,
2016124,48,0,0.03489352083333334,1.674889,
2016124,69,0,0.06156460869565217,4.247958,
2016124,73,0,0.05415815068493151,3.953545,
2016124,79,0,0.0575682911392405,4.547895,
2016124,49,0,0.0893619387755102,4.378735,
2016124,100,0,0.04045857,4.045857,
2016124,8707872,0,0.005243433959066003,45659.151756,
2016126,8803487,0,0.0051362484297415335,45216.89628,
2016127,126256,0,0.004720258926308452,595.961011,
2016127,134320,0,0.0049144637730792135,660.110774,
2016127,140964,0,0.004905781064668993,691.538522,
2016127,17483621,0,0.005775191130144036,100971.252922,
