2016-10-17 18:09:41 -0700
18:09:41:0.044471: LittleFrame.log: I:100{A:70/70,U:10/10}
18:09:41:0.046473: LittleFrame.log: IN:{"food"=>200, "shelter"=>200, "health"=>20, "acquisition"=>40, "role"=>70, "audit"=>20, "equipment"=>180, "security"=>30, "data"=>160, "ojt"=>140, "professional"=>80, "formal"=>40}
18:09:41:0.046473: LittleFrame.log: {"food"=>2, "shelter"=>2, "health"=>0, "acquisition"=>0, "role"=>1, "audit"=>0, "equipment"=>2, "security"=>0, "data"=>2, "ojt"=>2, "professional"=>1, "formal"=>0}
18:09:41:0.047477: LittleFrame.log: service0:{"food"=>2, "shelter"=>2, "health"=>0, "acquisition"=>0.0, "role"=>0.0, "audit"=>0, "equipment"=>2, "security"=>0, "data"=>2, "ojt"=>0.0, "professional"=>1, "formal"=>0.0}
18:09:41:0.0486: LittleFrame.log: {"food"=>2, "shelter"=>2, "health"=>0, "acquisition"=>0, "role"=>1, "audit"=>0, "equipment"=>2, "security"=>0, "data"=>2, "ojt"=>2, "professional"=>1, "formal"=>0}
18:09:41:0.049475: LittleFrame.log: service10:{"food"=>2, "shelter"=>2, "health"=>0, "acquisition"=>0.0, "role"=>0.0, "audit"=>0, "equipment"=>2, "security"=>0, "data"=>2, "ojt"=>0.0, "professional"=>1, "formal"=>0.0}
18:09:41:0.049475: LittleFrame.log: {"food"=>2, "shelter"=>2, "health"=>0, "acquisition"=>0, "role"=>1, "audit"=>0, "equipment"=>2, "security"=>0, "data"=>2, "ojt"=>2, "professional"=>1, "formal"=>0}
18:09:41:0.050477: LittleFrame.log: service20:{"food"=>2, "shelter"=>2, "health"=>0, "acquisition"=>0.0, "role"=>0.0, "audit"=>0, "equipment"=>2, "security"=>0, "data"=>2, "ojt"=>0.0, "professional"=>1, "formal"=>0.0}
18:09:41:0.051477: LittleFrame.log: {"food"=>2, "shelter"=>2, "health"=>0, "acquisition"=>0, "role"=>1, "audit"=>0, "equipment"=>2, "security"=>0, "data"=>2, "ojt"=>2, "professional"=>1, "formal"=>0}
18:09:41:0.051477: LittleFrame.log: administration25:{"food"=>2, "shelter"=>2, "health"=>0, "acquisition"=>0.0, "role"=>0.0, "audit"=>0, "equipment"=>2, "security"=>0, "data"=>2, "ojt"=>0.0, "professional"=>1, "formal"=>0.0}
18:09:41:0.052477: LittleFrame.log: {"food"=>2, "shelter"=>2, "health"=>0, "acquisition"=>0, "role"=>1, "audit"=>0, "equipment"=>2, "security"=>0, "data"=>2, "ojt"=>2, "professional"=>1, "formal"=>0}
18:09:41:0.055479: LittleFrame.log: administration30:{"food"=>2, "shelter"=>2, "health"=>0, "acquisition"=>0.0, "role"=>0.0, "audit"=>0, "equipment"=>2, "security"=>0, "data"=>2, "ojt"=>0.0, "professional"=>1, "formal"=>0.0}
18:09:41:0.05648: LittleFrame.log: {"food"=>2, "shelter"=>2, "health"=>0, "acquisition"=>0, "role"=>1, "audit"=>0, "equipment"=>2, "security"=>0, "data"=>2, "ojt"=>2, "professional"=>1, "formal"=>0}
18:09:41:0.05648: LittleFrame.log: administration35:{"food"=>2, "shelter"=>2, "health"=>0, "acquisition"=>0.0, "role"=>0.0, "audit"=>0, "equipment"=>2, "security"=>0, "data"=>2, "ojt"=>0.0, "professional"=>1, "formal"=>0.0}
18:09:41:0.05748: LittleFrame.log: {"food"=>2, "shelter"=>2, "health"=>0, "acquisition"=>0, "role"=>1, "audit"=>0, "equipment"=>2, "security"=>0, "data"=>2, "ojt"=>2, "professional"=>1, "formal"=>0}
18:09:41:0.05748: LittleFrame.log: technical40:{"food"=>2, "shelter"=>2, "health"=>0, "acquisition"=>0.0, "role"=>0.0, "audit"=>0, "equipment"=>2, "security"=>0, "data"=>2, "ojt"=>0.0, "professional"=>1, "formal"=>0.0}
18:09:41:0.058481: LittleFrame.log: {"food"=>2, "shelter"=>2, "health"=>0, "acquisition"=>0, "role"=>1, "audit"=>0, "equipment"=>2, "security"=>0, "data"=>2, "ojt"=>2, "professional"=>1, "formal"=>0}
18:09:41:0.058481: LittleFrame.log: technical45:{"food"=>2, "shelter"=>2, "health"=>0, "acquisition"=>0.0, "role"=>0.0, "audit"=>0, "equipment"=>2, "security"=>0, "data"=>2, "ojt"=>0.0, "professional"=>1, "formal"=>0.0}
18:09:41:0.059482: LittleFrame.log: {"food"=>2, "shelter"=>2, "health"=>0, "acquisition"=>0, "role"=>1, "audit"=>0, "equipment"=>2, "security"=>0, "data"=>2, "ojt"=>2, "professional"=>1, "formal"=>0}
