type,run,food_needed,food_used,shelter_needed,shelter_used,health_needed,health_used,acquisition_needed,acquisition_used,role_needed,role_used,audit_needed,audit_used,equipment_needed,equipment_used,security_needed,security_used,data_needed,data_used,ojt_needed,ojt_used,professional_needed,professional_used,formal_needed,formal_used,
combination0111,605,294.65608204173884,294.65608204173884,216.44751978237744,216.44751978237744,142.0535828331516,142.0535828331516,2.8738392077133312,2.8738392077133312,0.0,0.0,331.09568226870283,331.09568226870283,289.1503950459914,289.1503950459914,135.79736790662224,135.79736790662224,307.4388259044098,307.4388259044098,0.0,0.0,158.10229192488836,158.10229192488836,1.729603029840817,1.729603029840817,
combination0111,606,292.27814182410054,292.27814182410054,214.0650808975851,214.0650808975851,138.6597717183615,138.6597717183615,2.8738392077133312,2.8738392077133312,1.1527577764917112,1.1527577764917112,326.23011989879967,326.23011989879967,283.97434291363584,283.97434291363584,135.59602637516133,135.59602637516133,303.5456577590433,303.5456577590433,0.0,0.0,156.3577761287352,156.3577761287352,3.459206059681634,3.459206059681634,
combination0111,607,291.27814182410054,291.27814182410054,212.86282312555218,212.86282312555218,137.75326175731837,137.75326175731837,2.8738392077133312,2.8738392077133312,0.0,0.0,324.37872122974943,324.37872122974943,282.23243963754373,282.23243963754373,133.78120997261038,133.78120997261038,302.54565775904337,302.54565775904337,0.0,0.0,155.07788489400812,155.07788489400812,1.729603029840817,1.729603029840817,
combination0111,608,290.6754217179481,290.6754217179481,213.16232061440613,213.16232061440613,135.67198887521272,135.67198887521272,2.8738392077133312,2.8738392077133312,0.0,0.0,327.0446780069533,327.0446780069533,286.4981026016263,286.4981026016263,135.02815566039095,135.02815566039095,303.74972553902563,303.74972553902563,0.0,0.0,158.05318912782292,158.05318912782292,1.729603029840817,1.729603029840817,
combination0111,609,287.49229896330314,287.49229896330314,214.28484304718563,214.28484304718563,135.67198887521272,135.67198887521272,2.8738392077133312,2.8738392077133312,0.0,0.0,327.8854159528761,327.8854159528761,287.11884752680197,287.11884752680197,136.16867296619031,136.16867296619031,303.4325878386985,303.4325878386985,0.0,0.0,157.141214322676,157.141214322676,1.729603029840817,1.729603029840817,
combination0111,610,287.4082506061706,287.4082506061706,214.8975314148737,214.8975314148737,138.8334559474016,138.8334559474016,2.8738392077133312,2.8738392077133312,0.0,0.0,324.8271466366208,324.8271466366208,289.2688184974553,289.2688184974553,138.09032207756525,138.09032207756525,304.43795346755394,304.43795346755394,0.0,0.0,156.99416054250443,156.99416054250443,1.729603029840817,1.729603029840817,
combination0111,611,288.74483256126376,288.74483256126376,216.22323000264765,216.22323000264765,138.8334559474016,138.8334559474016,2.8738392077133312,2.8738392077133312,0.0,0.0,325.5372947943453,325.5372947943453,291.77977568807125,291.77977568807125,138.09032207756536,138.09032207756536,305.9803572902519,305.9803572902519,0.0,0.0,158.49094054957447,158.49094054957447,1.729603029840817,1.729603029840817,
combination0111,612,288.9942360358241,288.9942360358241,216.72085225960603,216.72085225960603,137.37985202006158,137.37985202006158,2.8738392077133312,2.8738392077133312,1.1527577764917112,1.1527577764917112,321.4769559900966,321.4769559900966,291.03618037975235,291.03618037975235,139.623941125861,139.623941125861,306.7389946586442,306.7389946586442,0.0,0.0,158.68150811448152,158.68150811448152,3.459206059681634,3.459206059681634,
combination0111,613,285.8028907827998,285.8028907827998,215.45755817607295,215.45755817607295,137.37985202006158,137.37985202006158,2.8738392077133312,2.8738392077133312,0.0,0.0,320.5530535258486,320.5530535258486,288.8196608552149,288.8196608552149,137.78960443264887,137.78960443264887,304.7351025563586,304.7351025563586,0.0,0.0,157.74897307644417,157.74897307644417,1.729603029840817,1.729603029840817,
combination0111,614,286.5503883364979,286.5503883364979,214.5175343185623,214.5175343185623,135.2584070932545,135.2584070932545,2.8738392077133312,2.8738392077133312,0.0,0.0,320.66607386008326,320.66607386008326,286.34916488877474,286.34916488877474,138.18052431732804,138.18052431732804,306.7060938295148,306.7060938295148,0.0,0.0,159.17479989038458,159.17479989038458,1.729603029840817,1.729603029840817,
combination0111,615,287.94318172874966,287.94318172874966,215.6339437907164,215.6339437907164,137.06028367700358,137.06028367700358,2.8738392077133312,2.8738392077133312,0.0,0.0,321.03865315170225,321.03865315170225,289.25052979767105,289.25052979767105,138.9432415602221,138.9432415602221,308.3240066137209,308.3240066137209,0.0,0.0,160.42909640079486,160.42909640079486,1.729603029840817,1.729603029840817,
combination0111,616,286.6543725552111,286.6543725552111,214.4758065780964,214.4758065780964,137.5847400004839,137.5847400004839,2.8738392077133312,2.8738392077133312,0.0,0.0,314.5163629667308,314.5163629667308,288.4373505964329,288.4373505964329,137.97289254209608,137.97289254209608,305.5028904308621,305.5028904308621,0.0,0.0,158.28406966787753,158.28406966787753,1.729603029840817,1.729603029840817,
combination0111,617,284.7969208768211,284.7969208768211,213.07249989325493,213.07249989325493,136.636114629278,136.636114629278,2.8738392077133312,2.8738392077133312,0.0,0.0,314.2704307039399,314.2704307039399,287.4373505964329,287.4373505964329,137.97289254209608,137.97289254209608,303.3866184016375,303.3866184016375,0.0,0.0,157.1103579127072,157.1103579127072,1.729603029840817,1.729603029840817,
combination0111,618,284.9493061514636,284.9493061514636,213.87417262695914,213.87417262695914,136.77631285152876,136.77631285152876,2.8738392077133312,2.8738392077133312,0.0,0.0,317.3946444397388,317.3946444397388,286.6483987083245,286.6483987083245,138.1774918223959,138.1774918223959,300.3470478681604,300.3470478681604,0.0,0.0,155.87902848603244,155.87902848603244,1.729603029840817,1.729603029840817,
combination0111,619,279.2460337455189,279.2460337455189,211.42273561414635,211.42273561414635,135.1933693097652,135.1933693097652,2.8738392077133312,2.8738392077133312,0.0,0.0,311.97028183775933,311.97028183775933,283.7007901193708,283.7007901193708,135.75339508315759,135.75339508315759,297.97923663163374,297.97923663163374,0.0,0.0,154.09296212274225,154.09296212274225,1.729603029840817,1.729603029840817,
combination0111,620,278.16780875332825,278.16780875332825,208.50917239324815,208.50917239324815,134.77318414070973,134.77318414070973,2.8738392077133312,2.8738392077133312,0.0,0.0,308.82539680910696,308.82539680910696,281.7367304463907,281.7367304463907,135.75339508315759,135.75339508315759,296.1210727403397,296.1210727403397,0.0,0.0,152.84958549303278,152.84958549303278,1.729603029840817,1.729603029840817,
